No.,X1 ,Y1,X2,Y2,X3,Y3,X4,Y4,Area,XR,YR,XM,YM,IX,IY ,IY*YR,IX*XR
1,0,0,0,0.3,0.3,0,0.3,0.3,0.09,0.15,0.15,10,5,0.000675,0.000675,0.00010125,0.00010125
2,0,2.35,0,2.65,0.3,2.35,0.3,2.65,0.09,0.15,2.5,10,5,0.000675,0.000675,0.0016875,0.00010125
3,0,4.85,0,5.15,0.3,4.85,0.3,5.15,0.09,0.15,5,10,5,0.000675,0.000675,0.003375,0.00010125
4,0,7.35,0,7.65,0.3,7.35,0.3,7.65,0.09,0.15,7.5,10,5,0.000675,0.000675,0.0050625,0.00010125
5,0,9.7,0,10,0.3,9.7,0.3,10,0.09,0.15,9.85,10,5,0.000675,0.000675,0.00664875,0.00010125
6,2.35,0,2.35,0.3,2.65,0,2.65,0.3,0.09,2.5,0.15,10,5,0.000675,0.000675,0.00010125,0.0016875
7,2.35,2.35,2.35,2.65,2.65,2.35,2.65,2.65,0.09,2.5,2.5,10,5,0.000675,0.000675,0.0016875,0.0016875
8,2.35,4.85,2.35,5.15,2.65,4.85,2.65,5.15,0.09,2.5,5,10,5,0.000675,0.000675,0.003375,0.0016875
9,2.35,7.35,2.35,7.65,2.65,7.35,2.65,7.65,0.09,2.5,7.5,10,5,0.000675,0.000675,0.0050625,0.0016875
10,2.35,9.7,2.35,10,2.65,9.7,2.65,10,0.09,2.5,9.85,10,5,0.000675,0.000675,0.00664875,0.0016875
11,4.85,0,4.85,0.3,5.15,0,5.15,0.3,0.09,5,0.15,10,5,0.000675,0.000675,0.00010125,0.003375
12,4.85,2.35,4.85,2.65,5.15,2.35,5.15,2.65,0.09,5,2.5,10,5,0.000675,0.000675,0.0016875,0.003375
13,4.85,4.85,4.85,5.15,5.15,4.85,5.15,5.15,0.09,5,5,10,5,0.000675,0.000675,0.003375,0.003375
14,4.85,7.35,4.85,7.65,5.15,7.35,5.15,7.65,0.09,5,7.5,10,5,0.000675,0.000675,0.0050625,0.003375
15,4.85,9.7,4.85,10,5.15,9.7,5.15,10,0.09,5,9.85,10,5,0.000675,0.000675,0.00664875,0.003375
16,7.35,0,7.35,0.3,7.65,0,7.65,0.3,0.09,7.5,0.15,10,5,0.000675,0.000675,0.00010125,0.0050625
17,7.35,2.35,7.35,2.65,7.65,2.35,7.65,2.65,0.09,7.5,2.5,10,5,0.000675,0.000675,0.0016875,0.0050625
18,7.35,4.85,7.35,5.15,7.65,4.85,7.65,5.15,0.09,7.5,5,10,5,0.000675,0.000675,0.003375,0.0050625
19,7.35,7.35,7.35,7.65,7.65,7.35,7.65,7.65,0.09,7.5,7.5,10,5,0.000675,0.000675,0.0050625,0.0050625
20,7.35,9.7,7.35,10,7.65,9.7,7.65,10,0.09,7.5,9.85,10,5,0.000675,0.000675,0.00664875,0.0050625
21,9.85,0,9.85,0.3,10.15,0,10.15,0.3,0.09,10,0.15,10,5,0.000675,0.000675,0.00010125,0.00675
22,9.85,2.35,9.85,2.65,10.15,2.35,10.15,2.65,0.09,10,2.5,10,5,0.000675,0.000675,0.0016875,0.00675
23,9.85,4.85,9.85,5.15,10.15,4.85,10.15,5.15,0.09,10,5,10,5,0.000675,0.000675,0.003375,0.00675
24,9.85,7.35,9.85,7.65,10.15,7.35,10.15,7.65,0.09,10,7.5,10,5,0.000675,0.000675,0.0050625,0.00675
25,9.85,9.7,9.85,10,10.15,9.7,10.15,10,0.09,10,9.85,10,5,0.000675,0.000675,0.00664875,0.00675
26,12.35,0,12.35,0.3,12.65,0,12.65,0.3,0.09,12.5,0.15,10,5,0.000675,0.000675,0.00010125,0.0084375
27,12.35,2.35,12.35,2.65,12.65,2.35,12.65,2.65,0.09,12.5,2.5,10,5,0.000675,0.000675,0.0016875,0.0084375
28,12.35,4.85,12.35,5.15,12.65,4.85,12.65,5.15,0.09,12.5,5,10,5,0.000675,0.000675,0.003375,0.0084375
29,12.35,7.35,12.35,7.65,12.65,7.35,12.65,7.65,0.09,12.5,7.5,10,5,0.000675,0.000675,0.0050625,0.0084375
30,12.35,9.7,12.35,10,12.65,9.7,12.65,10,0.09,12.5,9.85,10,5,0.000675,0.000675,0.00664875,0.0084375
31,14.85,0,14.85,0.3,15.15,0,15.15,0.3,0.09,15,0.15,10,5,0.000675,0.000675,0.00010125,0.010125
32,14.85,2.35,14.85,2.65,15.15,2.35,15.15,2.65,0.09,15,2.5,10,5,0.000675,0.000675,0.0016875,0.010125
33,14.85,4.85,14.85,5.15,15.15,4.85,15.15,5.15,0.09,15,5,10,5,0.000675,0.000675,0.003375,0.010125
34,14.85,7.35,14.85,7.65,15.15,7.35,15.15,7.65,0.09,15,7.5,10,5,0.000675,0.000675,0.0050625,0.010125
35,14.85,9.7,14.85,10,15.15,9.7,15.15,10,0.09,15,9.85,10,5,0.000675,0.000675,0.00664875,0.010125
36,17.35,0,17.35,0.3,17.65,0,17.65,0.3,0.09,17.5,0.15,10,5,0.000675,0.000675,0.00010125,0.0118125
37,17.35,2.35,17.35,2.65,17.65,2.35,17.65,2.65,0.09,17.5,2.5,10,5,0.000675,0.000675,0.0016875,0.0118125
38,17.35,4.85,17.35,5.15,17.65,4.85,17.65,5.15,0.09,17.5,5,10,5,0.000675,0.000675,0.003375,0.0118125
39,17.35,7.35,17.35,7.65,17.65,7.35,17.65,7.65,0.09,17.5,7.5,10,5,0.000675,0.000675,0.0050625,0.0118125
40,17.35,9.7,17.35,10,17.65,9.7,17.65,10,0.09,17.5,9.85,10,5,0.000675,0.000675,0.00664875,0.0118125
41,19.7,0,19.7,0.3,20,0,20,0.3,0.09,19.85,0.15,10,5,0.000675,0.000675,0.00010125,0.01339875
42,19.7,2.35,19.7,2.65,20,2.35,20,2.65,0.09,19.85,2.5,10,5,0.000675,0.000675,0.0016875,0.01339875
43,19.7,4.85,19.7,5.15,20,4.85,20,5.15,0.09,19.85,5,10,5,0.000675,0.000675,0.003375,0.01339875
44,19.7,7.35,19.7,7.65,20,7.35,20,7.65,0.09,19.85,7.5,10,5,0.000675,0.000675,0.0050625,0.01339875
45,19.7,9.7,19.7,10,20,9.7,20,10,0.09,19.85,9.85,10,5,0.000675,0.000675,0.00664875,0.01339875